Time (ps),Quercetin-FN1,pQ3RU-FN1
0,2.11679,2.119492
2,2.12815,2.136498
4,2.128987,2.142234
6,2.121847,2.150805
8,2.123057,2.147891
10,2.113785,2.142625
12,2.116633,2.133447
14,2.112742,2.143323
16,2.116766,2.150056
18,2.116997,2.13993
20,2.113109,2.156679
22,2.118698,2.163578
24,2.111927,2.164541
26,2.11944,2.160122
28,2.125591,2.140547
30,2.133616,2.152294
32,2.138155,2.153877
34,2.141603,2.151635
36,2.143979,2.153018
38,2.133932,2.144816
40,2.137771,2.14711
42,2.13341,2.134285
44,2.12909,2.135593
46,2.123484,2.137695
48,2.122803,2.130859
50,2.129716,2.14362
52,2.13382,2.136158
54,2.143777,2.140834
56,2.148181,2.136853
58,2.147291,2.146064
60,2.152437,2.150653
62,2.156519,2.148479
64,2.161342,2.151863
66,2.173687,2.151999
68,2.180137,2.162598
70,2.169983,2.157628
72,2.166359,2.165674
74,2.161453,2.172973
76,2.17363,2.160119
78,2.175089,2.152697
80,2.186426,2.156854
82,2.187307,2.15717
84,2.183703,2.159747
86,2.194508,2.155415
88,2.192214,2.157068
90,2.194056,2.168317
92,2.199866,2.16118
94,2.195904,2.157782
96,2.185954,2.165839
98,2.184145,2.156747
100,2.175279,2.167849
102,2.174282,2.154342
104,2.178288,2.159344
106,2.175973,2.16213
108,2.173574,2.167749
110,2.173011,2.167348
112,2.171795,2.165771
114,2.168013,2.163583
116,2.179342,2.165035
118,2.176582,2.169645
120,2.177929,2.165458
122,2.175365,2.16853
124,2.172028,2.165252
126,2.171193,2.170958
128,2.169918,2.168717
130,2.167526,2.163481
132,2.171729,2.171254
134,2.172246,2.168776
136,2.173511,2.162304
138,2.170113,2.165744
140,2.1779,2.164287
142,2.18152,2.168292
144,2.185935,2.17705
146,2.181518,2.183913
148,2.190561,2.177108
150,2.196379,2.18426
152,2.199007,2.178224
154,2.207637,2.188354
156,2.208817,2.187313
158,2.208155,2.187714
160,2.223229,2.187588
162,2.212842,2.174834
164,2.219355,2.175811
166,2.205183,2.182445
168,2.21022,2.184791
170,2.198074,2.187524
172,2.203535,2.182823
174,2.195703,2.19727
176,2.194791,2.197967
178,2.192418,2.193614
180,2.194317,2.18484
182,2.199124,2.190673
184,2.209803,2.18137
186,2.202626,2.183375
188,2.20162,2.180483
190,2.210761,2.185594
192,2.201711,2.191009
194,2.212761,2.194422
196,2.20444,2.192422
198,2.200643,2.193857
200,2.20075,2.197593
202,2.221364,2.199822
204,2.206432,2.218498
206,2.207386,2.210649
208,2.198181,2.212159
210,2.213932,2.211527
212,2.20723,2.224684
214,2.206329,2.221292
216,2.198034,2.218492
218,2.201229,2.226891
220,2.197808,2.236985
222,2.197921,2.237285
224,2.193274,2.225875
226,2.185761,2.22515
228,2.18352,2.230822
230,2.189466,2.238034
232,2.200789,2.222962
234,2.19997,2.231175
236,2.200404,2.226425
238,2.200031,2.233141
240,2.20698,2.230875
242,2.202336,2.212599
244,2.203443,2.218552
246,2.202676,2.220933
248,2.217571,2.224756
250,2.218893,2.220119
252,2.220987,2.219491
254,2.225399,2.216432
256,2.222064,2.220778
258,2.21865,2.212535
260,2.218879,2.225379
262,2.215564,2.233518
264,2.2091,2.231585
266,2.205249,2.224212
268,2.194718,2.228693
270,2.202322,2.232285
272,2.214438,2.222056
274,2.222662,2.227035
276,2.222078,2.223538
278,2.203491,2.21627
280,2.20445,2.221498
282,2.204658,2.228551
284,2.200489,2.219742
286,2.214784,2.213628
288,2.206863,2.216764
290,2.202444,2.225293
292,2.195129,2.221676
294,2.198935,2.214522
296,2.204026,2.202024
298,2.198555,2.210395
300,2.203578,2.2147
302,2.198751,2.216282
304,2.200658,2.210257
306,2.204616,2.211743
308,2.197287,2.215492
310,2.204331,2.210598
312,2.194945,2.21371
314,2.200955,2.215336
316,2.210258,2.223343
318,2.202081,2.233011
320,2.202678,2.223955
322,2.20156,2.22221
324,2.193916,2.215456
326,2.189939,2.226732
328,2.185339,2.218034
330,2.172097,2.230022
332,2.175914,2.230606
334,2.175786,2.231163
336,2.178105,2.235962
338,2.162388,2.224101
340,2.164383,2.227263
342,2.164044,2.227946
344,2.164776,2.228029
346,2.162946,2.226759
348,2.165539,2.221524
350,2.158687,2.2342
352,2.160528,2.223367
354,2.178079,2.236583
356,2.171444,2.241018
358,2.169534,2.250153
360,2.157151,2.231915
362,2.154636,2.237418
364,2.15892,2.243762
366,2.151688,2.230178
368,2.154395,2.228632
370,2.162915,2.227382
372,2.172985,2.237302
374,2.179272,2.239972
376,2.180828,2.239526
378,2.169085,2.234518
380,2.176771,2.245903
382,2.176022,2.239889
384,2.171461,2.236186
386,2.162185,2.233275
388,2.163447,2.232391
390,2.168023,2.22556
392,2.164333,2.223433
394,2.168659,2.22716
396,2.158415,2.253092
398,2.155564,2.240848
400,2.156483,2.243868
402,2.159931,2.254024
404,2.160156,2.244553
406,2.171276,2.250389
408,2.172044,2.242275
410,2.170292,2.253366
412,2.158388,2.24629
414,2.148625,2.243925
416,2.154393,2.256884
418,2.159969,2.23651
420,2.167675,2.235162
422,2.169948,2.226542
424,2.161082,2.243352
426,2.156586,2.249096
428,2.158579,2.245457
430,2.156857,2.232787
432,2.158895,2.238692
434,2.155286,2.227773
436,2.144487,2.231306
438,2.152997,2.228927
440,2.144693,2.230975
442,2.144035,2.239056
444,2.145904,2.24688
446,2.152425,2.247344
448,2.156538,2.253162
450,2.159914,2.254992
452,2.147995,2.244037
454,2.155967,2.250409
456,2.151214,2.255494
458,2.147443,2.246887
460,2.145352,2.253499
462,2.148307,2.240138
464,2.142551,2.247243
466,2.148669,2.243454
468,2.147722,2.24229
470,2.14565,2.242557
472,2.141344,2.253426
474,2.145749,2.242176
476,2.140874,2.240326
478,2.14039,2.235093
480,2.149438,2.233471
482,2.140687,2.241249
484,2.138202,2.245131
486,2.133989,2.250653
488,2.144419,2.24984
490,2.140872,2.244118
492,2.134251,2.253457
494,2.135326,2.259448
496,2.150584,2.253119
498,2.151664,2.258915
500,2.147646,2.274212
502,2.150584,2.271171
504,2.148425,2.254327
506,2.148274,2.253958
508,2.152408,2.251834
510,2.146363,2.268702
512,2.151498,2.270628
514,2.149835,2.269503
516,2.162369,2.25724
518,2.163414,2.26911
520,2.16323,2.273843
522,2.164275,2.272861
524,2.165218,2.2672
526,2.15794,2.258778
528,2.160377,2.24967
530,2.159201,2.254581
532,2.15126,2.266803
534,2.138011,2.258307
536,2.142646,2.270767
538,2.150465,2.261608
540,2.147695,2.266607
542,2.148091,2.269732
544,2.139405,2.26777
546,2.144048,2.252997
548,2.141807,2.258205
550,2.151484,2.256749
552,2.14553,2.259776
554,2.148089,2.242246
556,2.145813,2.242454
558,2.151542,2.250298
560,2.154495,2.253604
562,2.150421,2.255284
564,2.148443,2.249796
566,2.149632,2.250991
568,2.143811,2.272879
570,2.150054,2.266068
572,2.167098,2.264627
574,2.162463,2.251811
576,2.162909,2.24445
578,2.172239,2.2571
580,2.165564,2.271049
582,2.161346,2.254332
584,2.165968,2.258716
586,2.167758,2.244668
588,2.169888,2.238383
590,2.167045,2.240957
592,2.160918,2.223273
594,2.154022,2.224369
596,2.156245,2.219634
598,2.149115,2.229813
600,2.168996,2.234589
602,2.163774,2.231083
604,2.151702,2.229007
606,2.150777,2.225824
608,2.152388,2.207239
610,2.156667,2.223231
612,2.164676,2.219012
614,2.157737,2.229358
616,2.158365,2.23064
618,2.154559,2.232841
620,2.150963,2.236251
622,2.148783,2.230317
624,2.151022,2.232327
626,2.145264,2.229091
628,2.132031,2.237146
630,2.11884,2.243474
632,2.133847,2.236079
634,2.137905,2.244056
636,2.151285,2.239732
638,2.140972,2.246617
640,2.133234,2.234369
642,2.136631,2.22633
644,2.14587,2.222014
646,2.138117,2.224733
648,2.133916,2.231021
650,2.148219,2.237262
652,2.145435,2.236518
654,2.150074,2.240967
656,2.147132,2.238837
658,2.153142,2.237471
660,2.146182,2.238727
662,2.144903,2.219074
664,2.147551,2.226344
666,2.147446,2.234127
668,2.14819,2.249121
