Time (ps),Quercetin-FN1,pQ3RU
0,2,5
2,1,6
4,2,5
6,2,4
8,2,4
10,1,5
12,2,5
14,1,5
16,2,3
18,2,3
20,3,4
22,3,4
24,2,4
26,2,4
28,1,5
30,1,5
32,2,4
34,2,5
36,1,4
38,4,4
40,2,4
42,1,8
44,1,3
46,1,6
48,1,5
50,2,7
52,2,7
54,1,7
56,1,5
58,2,5
60,1,5
62,1,4
64,2,6
66,1,5
68,1,6
70,1,7
72,1,5
74,2,7
76,1,6
78,1,6
80,1,6
82,1,5
84,1,5
86,1,6
88,2,4
90,1,4
92,1,7
94,1,5
96,1,5
98,1,5
100,1,6
102,1,5
104,1,5
106,1,4
108,2,5
110,1,5
112,1,7
114,1,4
116,1,5
118,1,5
120,1,6
122,1,5
124,1,5
126,1,6
128,1,6
130,1,5
132,1,6
134,1,5
136,2,5
138,2,7
140,1,5
142,2,5
144,1,6
146,1,6
148,2,6
150,1,6
152,1,6
154,1,7
156,1,6
158,1,6
160,1,6
162,1,6
164,1,5
166,1,5
168,1,6
170,1,5
172,1,3
174,1,6
176,1,5
178,1,5
180,1,4
182,1,6
184,1,5
186,2,6
188,2,5
190,2,6
192,2,6
194,2,5
196,1,6
198,1,6
200,1,5
202,2,7
204,1,3
206,1,7
208,1,7
210,1,7
212,1,5
214,1,5
216,1,6
218,1,6
220,1,5
222,2,5
224,1,6
226,1,7
228,1,5
230,2,6
232,1,7
234,1,5
236,2,6
238,2,5
240,1,6
242,0,5
244,1,6
246,1,6
248,1,6
250,1,6
252,1,6
254,1,6
256,1,7
258,1,4
260,1,5
262,1,4
264,1,6
266,1,6
268,1,5
270,1,5
272,1,6
274,1,6
276,1,6
278,1,6
280,1,5
282,1,3
284,0,7
286,1,6
288,1,6
290,1,6
292,1,7
294,1,7
296,1,6
298,1,6
300,1,5
302,2,6
304,1,5
306,1,5
308,1,4
310,1,5
312,1,6
314,1,5
316,1,6
318,0,5
320,1,3
322,2,6
324,1,7
326,1,5
328,1,5
330,1,5
332,2,5
334,1,6
336,1,6
338,1,6
340,1,6
342,1,6
344,1,6
346,2,6
348,1,6
350,2,6
352,2,6
354,2,6
356,2,6
358,1,5
360,1,6
362,1,5
364,1,6
366,1,6
368,2,5
370,2,5
372,2,6
374,2,6
376,1,5
378,1,6
380,2,6
382,2,6
384,2,5
386,2,4
388,2,5
390,2,5
392,3,7
394,2,6
396,2,6
398,2,5
400,2,6
402,1,6
404,2,5
406,2,5
408,2,5
410,2,5
412,1,5
414,3,5
416,2,5
418,2,4
420,2,4
422,3,5
424,2,4
426,2,5
428,2,5
430,2,2
432,2,5
434,1,7
436,2,5
438,2,7
440,2,6
442,1,6
444,1,6
446,2,7
448,1,4
450,2,5
452,2,7
454,2,6
456,2,6
458,2,3
460,2,4
462,3,4
464,3,5
466,3,7
468,3,5
470,2,6
472,2,5
474,2,6
476,3,7
478,2,6
480,2,6
482,2,6
484,3,5
486,1,5
488,3,6
490,2,6
492,2,7
494,2,5
496,2,4
498,2,5
500,2,6
502,2,5
504,1,6
506,3,5
508,2,6
510,3,7
512,3,3
514,3,5
516,4,7
518,3,7
520,3,4
522,3,4
524,3,5
526,3,4
528,2,5
530,2,5
532,2,6
534,4,5
536,2,6
538,2,3
540,2,7
542,2,7
544,3,6
546,2,7
548,2,6
550,1,6
552,1,6
554,1,6
556,1,5
558,2,5
560,2,6
562,3,6
564,1,7
566,2,7
568,2,4
570,2,5
572,2,3
574,2,5
576,1,5
578,3,3
580,2,4
582,3,3
584,3,5
586,2,3
588,2,2
590,2,4
592,2,3
594,2,4
596,3,3
598,3,6
600,3,4
602,2,4
604,3,5
606,3,4
608,3,5
610,3,4
612,3,5
614,2,6
616,2,6
618,1,4
620,2,4
622,3,4
624,2,3
626,1,5
628,3,2
630,2,2
632,2,4
634,2,4
636,2,4
638,1,3
640,2,3
642,3,3
644,2,4
646,2,3
648,2,5
650,1,3
652,2,6
654,2,4
656,2,4
658,1,3
660,1,5
662,2,5
664,2,3
666,2,2
668,2,3
670,2,3
672,2,6
674,3,5
676,2,2
678,2,3
680,1,4
682,1,4
684,1,5
686,3,4
688,2,3
690,2,4
692,1,2
694,1,3
696,3,4
698,2,3
700,1,4
702,2,3
704,2,5
706,1,3
708,2,5
710,2,3
712,1,3
714,3,2
716,2,2
718,2,4
720,2,5
722,2,2
724,2,6
726,3,4
728,1,5
730,3,3
732,1,2
734,2,4
736,2,5
738,0,4
740,2,4
742,2,3
744,1,3
746,3,4
748,2,6
750,1,6
752,1,4
754,1,5
756,1,3
758,2,6
760,2,2
762,2,7
764,2,5
766,3,5
768,2,4
770,3,4
772,3,5
774,3,4
776,2,5
778,2,3
780,2,4
782,2,5
784,2,2
786,3,5
788,1,6
790,2,4
792,2,6
794,2,4
796,3,3
798,2,2
800,3,3
802,2,6
804,3,5
806,2,6
808,3,3
810,2,4
812,3,6
814,3,7
816,0,6
818,2,5
820,1,4
822,0,5
824,1,5
826,1,7
828,3,7
830,2,7
832,1,5
834,2,7
836,1,5
838,1,4
840,2,5
842,3,3
844,2,5
846,2,4
848,1,5
850,2,6
852,2,5
854,2,5
856,2,5
858,2,5
860,0,5
862,1,6
864,2,8
866,2,8
868,2,6
870,0,7
872,1,5
874,2,4
876,1,6
878,1,3
880,2,4
882,2,4
884,2,6
886,2,4
888,2,5
890,1,4
892,2,7
894,0,6
896,2,5
898,2,7
900,2,6
902,2,6
904,2,5
906,2,6
908,1,5
910,2,5
912,1,5
914,2,6
916,3,6
918,2,5
920,2,7
922,2,5
924,2,6
926,3,5
928,1,6
930,2,5
932,2,7
934,2,5
936,3,8
938,2,8
940,3,6
942,1,7
944,1,6
946,2,8
948,1,8
950,1,7
952,1,7
954,2,6
956,1,6
958,2,8
960,2,6
962,1,6
964,3,7
966,3,7
968,2,7
970,3,7
972,3,6
974,3,6
976,2,7
978,2,5
980,1,6
982,3,8
984,2,6
986,2,7
988,3,6
990,2,6
992,2,6
994,3,7
996,2,7
998,1,5
1000,2,6
1002,3,6
1004,1,6
1006,2,6
1008,1,4
1010,2,6
1012,2,7
1014,2,7
1016,3,7
1018,2,6
1020,3,6
1022,3,5
1024,2,7
1026,2,7
1028,2,9
1030,1,8
1032,1,7
1034,2,8
1036,1,8
1038,1,5
1040,1,5
1042,1,7
1044,2,6
1046,2,6
1048,2,7
1050,1,8
1052,1,6
1054,3,7
1056,2,7
1058,2,4
1060,2,6
1062,3,6
1064,2,6
1066,2,7
1068,2,6
1070,2,6
1072,0,7
1074,3,5
1076,2,6
1078,4,6
1080,3,6
1082,3,6
1084,1,5
1086,2,7
1088,2,8
