Pharma Model,Num Feature,Fit,Norm Fit,Num Hydrophobic,Num HB Acceptor,Num HB Donor,Num Positive,Num Negative,Num Aromatic,Name,Class,Uniplot,Function,Disease,Idication
2c9o_B_cavity_3,4,3.791,0.9477,4,0,0,0,0,0,RuvB-like 1,NONE,Q9Y265,NONE,NONE,NONE
2mja_A_cavity_1,4,3.732,0.933,4,0,0,0,0,0,NONE,NONE,NONE,NONE,NONE,NONE
2yxr_A_cavity_7,4,3.419,0.8547,4,0,0,0,0,0,Preprotein translocase subunit secY,NONE,Q60175,NONE,NONE,NONE
3b8c_B_cavity_7,4,3.41,0.8524,4,0,0,0,0,0,"ATPase 2, plasma membrane-type",NONE,P19456,NONE,NONE,NONE
3hki_E_cavity_1,4,3.408,0.852,4,0,0,0,0,0,Prothrombin,NONE,P19221,NONE,NONE,NONE
2gfp_B_cavity_6,5,4.051,0.8101,5,0,0,0,0,0,Multidrug resistance protein D,NONE,P31442,NONE,NONE,NONE
1w07_B_cavity_3,5,3.903,0.7805,4,1,0,0,0,0,"Acyl-coenzyme A oxidase 1, peroxisomal",NONE,O65202,Involved in acyl-CoA oxidase activity,NONE,NONE
2gp6_B_cavity_1,5,3.853,0.7706,5,0,0,0,0,0,3-oxoacyl-[acyl-carrier-protein] synthase 2,NONE,P63456,NONE,NONE,NONE
1onf_A_cavity_5,5,3.755,0.751,4,1,0,0,0,0,Glutathione reductase,NONE,Q94655,Involved in oxidoreductase activity,NONE,NONE
1exv_A_cavity_7,5,3.745,0.7489,3,1,0,1,0,0,"Glycogen phosphorylase, liver form",NONE,P06737,Carbohydrate transport and metabolism,NONE,For nutritional supplementation and for treating dietary shortage or imbalance.
2es0_A_cavity_1,5,3.731,0.7463,5,0,0,0,0,0,Regulator of G-protein signaling 6,SIGNALING PROTEIN,RGS6_HUMAN,Inhibits signal transduction by increasing the GTPase activity of G protein alpha subunits thereby driving them into their inactive GDP-bound form. Activity on G(o)-alpha is specifically enhanced by the RGS6/Gbeta5 dimer.,NONE,NONE
2fbw_Q_cavity_1,5,3.724,0.7448,5,0,0,0,0,0,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",NONE,Q9YHT1,NONE,NONE,NONE
2qby_A_cavity_4,5,3.716,0.7433,5,0,0,0,0,0,Cell division control protein 6 homolog 1,NONE,Q980N4,NONE,NONE,NONE
3d47_B_cavity_3,5,3.683,0.7367,4,1,0,0,0,0,L-rhamnonate dehydratase,NONE,Q8ZNF9,NONE,NONE,NONE
3b6x_B_cavity_1,5,3.644,0.7289,5,0,0,0,0,0,General odorant-binding protein lush,NONE,O02372,Involved in odorant binding,NONE,NONE
2bty_A_cavity_1,5,3.635,0.727,5,0,0,0,0,0,Acetylglutamate kinase,NONE,Q9X2A4,NONE,NONE,NONE
3g9k_S_cavity_1,5,3.625,0.725,5,0,0,0,0,0,Capsule biosynthesis protein capD,NONE,Q51693,NONE,NONE,NONE
1vjh_A_cavity_1,5,3.584,0.7168,4,1,0,0,0,0,Uncharacterized protein At1g24000,NONE,P0C0B0,NONE,NONE,NONE
3cdk_B_cavity_2,6,4.26,0.7101,4,1,0,1,0,0,Probable succinyl-Co,NONE,P42315,NONE,NONE,NONE
1yf6_L_cavity_1,5,3.544,0.7089,5,0,0,0,0,0,Reaction center protein H chain,NONE,P0C0Y7,NONE,NONE,NONE
1c9b_E_cavity_1,5,3.537,0.7075,4,1,0,0,0,0,Transcription initiation factor IIB,NONE,Q00403,NONE,NONE,NONE
2hjs_A_cavity_1,5,3.523,0.7046,4,1,0,0,0,0,USG-1 protein homolog,NONE,O87014,NONE,NONE,NONE
1buc_B_cavity_2,5,3.522,0.7045,4,1,0,0,0,0,"Acyl-CoA dehydrogenase, short-chain specific",NONE,Q06319,Involved in acyl-CoA dehydrogenase activity,NONE,NONE
3clh_B_cavity_2,5,3.511,0.7021,4,0,1,0,0,0,3-dehydroquinate synthase,NONE,P56081,NONE,NONE,NONE
2b5s_B_cavity_1,5,3.508,0.7017,4,0,1,0,0,0,Non-specific lipid-transfer protein 1,NONE,P81402,NONE,NONE,NONE
1ukf_A_cavity_1,6,4.19,0.6983,4,1,0,0,1,0,Cysteine protease avirulence protein avrPphB,NONE,Q52430,NONE,NONE,NONE
1l0v_P_cavity_2,5,3.477,0.6953,5,0,0,0,0,0,Fumarate reductase flavoprotein subunit,OXIDOREDUCTASE,FRDA_ECOLI,"Two distinct, membrane-bound, FAD-containing enzymes are responsible for the catalysis of fumarate and succinate interconversion; the fumarate reductase is used in anaerobic growth, and the succinate dehydrogenase is used in aerobic growth.",NONE,NONE
2iny_A_cavity_9,5,3.465,0.6931,4,1,0,0,0,0,Hexon protein,NONE,P42671,NONE,NONE,NONE
1sfk_D_cavity_1,5,3.453,0.6906,5,0,0,0,0,0,Genome polyprotein,NONE,P14335,NONE,NONE,NONE
2tpr_B_cavity_3,5,3.429,0.6858,5,0,0,0,0,0,Trypanothione reductase,NONE,P39040,Energy production and conversion,NONE,NONE
2rmr_A_cavity_1,6,4.09,0.6817,5,1,0,0,0,0,Paired amphipathic helix protein Sin3a,NONE,Q60520,NONE,NONE,NONE
2hmn_A_cavity_2,5,3.398,0.6796,3,0,1,0,1,0,"Naphthalene 1,2-dioxygenase subunit alpha",NONE,P0A111,NONE,NONE,NONE
1tg6_A_cavity_2,6,4.071,0.6785,4,1,0,0,1,0,"Putative ATP-dependent Clp protease proteolytic subunit, mitochondrial",HYDROLASE,CLPP_HUMAN,Clp cleaves peptides in various proteins in a process that requires ATP hydrolysis. Clp may be responsible for a fairly general and central housekeeping function rather than for the degradation of specific substrates.,NONE,NONE
2nqb_G_cavity_1,6,4.07,0.6784,6,0,0,0,0,0,Histone H3,NONE,P02299,NONE,NONE,NONE
2axx_A_cavity_1,5,3.392,0.6784,5,0,0,0,0,0,Cytochrome b5,NONE,P00173,Involved in heme binding,NONE,NONE
1yiv_A_cavity_1,8,5.399,0.6749,4,2,0,2,0,0,Myelin P2 protein,NONE,P0C6G6,NONE,NONE,NONE
1zag_D_cavity_1,6,4.042,0.6736,4,1,0,1,0,0,Zinc-alpha-2-glycoprotein,LIPID MOBILIZATION FACTOR,ZA2G_HUMAN,Stimulates lipid degradation in adipocytes and causes the extensive fat losses associated with some advanced cancers. May bind polyunsaturated fatty acids.,NONE,NONE
2jpe_A_cavity_1,6,4.03,0.6717,5,1,0,0,0,0,Nuclear inhibitor of protein phosphatase 1,NONE,Q8R3G1,NONE,NONE,NONE
1yhn_B_cavity_1,6,4.014,0.669,6,0,0,0,0,0,Ras-related protein Rab-7a,NONE,P51149,NONE,NONE,NONE
1d7c_A_cavity_1,6,3.974,0.6624,4,2,0,0,0,0,Cellobiose dehydrogenase,NONE,Q01738,Amino acid transport and metabolism,NONE,NONE
1cfp_A_cavity_1,6,3.954,0.659,5,1,0,0,0,0,Protein S100-B,NONE,P02638,NONE,NONE,NONE
2gk9_A_cavity_2,6,3.927,0.6545,6,0,0,0,0,0,Phosphatidylinositol-5-phosphate 4-kinase type-2 gamma,NONE,Q8TBX8,NONE,NONE,NONE
1hj1_A_cavity_1,6,3.915,0.6525,4,1,0,1,0,0,Estrogen receptor beta,NONE,Q62986,Involved in transcription factor activity,NONE,NONE
2jul_A_cavity_2,6,3.901,0.6502,6,0,0,0,0,0,Calsenilin,NONE,Q9QXT8,NONE,NONE,NONE
2ffa_A_cavity_1,7,4.444,0.6349,4,0,2,1,0,0,Alpha-hemolysin translocation ATP-binding protein hlyB,NONE,P08716,NONE,NONE,NONE
3ibv_B_cavity_1,6,3.802,0.6337,5,1,0,0,0,0,Exportin-T,NONE,O94258,NONE,NONE,NONE
1tdj_A_cavity_3,6,3.797,0.6328,4,0,1,1,0,0,Threonine dehydratase biosynthetic,NONE,P04968,"Catalyzes the anaerobic formation of alpha-ketobutyrate and ammonia from threonine in a two-step reaction. The first step involved a dehydration of threonine and a production of enamine intermediates (aminocrotonate), which tautomerizes to its imine form (iminobutyrate). Both intermediates are unstable and short-lived. The second step is the nonenzymatic hydrolysis of the enamine/imine intermediates to form 2-ketobutyrate and free ammonia. In the low water environment of the cell, the second step is accelerated by RidA.",NONE,NONE
1y64_B_cavity_2,8,5.035,0.6294,6,1,0,0,1,0,"Actin, alpha skeletal muscle",NONE,P68135,NONE,NONE,NONE
1s5a_A_cavity_1,7,4.395,0.6279,3,1,1,2,0,0,Hypothetical protein yesE,NONE,O31511,NONE,NONE,NONE
3epy_B_cavity_2,6,3.764,0.6273,6,0,0,0,0,0,Acyl-CoA-binding domain-containing protein 7,NONE,Q8N6N7,NONE,NONE,NONE
2f66_E_cavity_1,6,3.76,0.6267,6,0,0,0,0,0,Suppressor protein STP22 of temperature-sensitive alpha-factor receptor and arginine permease,NONE,P25604,NONE,NONE,NONE
3hbx_D_cavity_2,6,3.758,0.6263,5,0,1,0,0,0,Glutamate decarboxylase 1,NONE,Q42521,NONE,NONE,NONE
2bcg_G_cavity_1,7,4.383,0.6262,7,0,0,0,0,0,Rab GDP-dissociation inhibitor,NONE,P39958,NONE,NONE,NONE
1yvw_A_cavity_1,6,3.733,0.6222,6,0,0,0,0,0,Phosphoribosyl-ATP pyrophosphatase,NONE,Q81G00,NONE,NONE,NONE
2bj3_A_cavity_1,6,3.732,0.622,6,0,0,0,0,0,Putative nickel-responsive regulator,NONE,O58316,Involved in DNA binding,NONE,NONE
1ega_B_cavity_1,7,4.346,0.6208,4,1,1,0,1,0,GTP-binding protein era,NONE,P06616,NONE,NONE,NONE
1s40_A_cavity_2,6,3.703,0.6171,4,1,0,0,1,0,Cell division control protein 13,NONE,P32797,NONE,NONE,NONE
2cb2_D_cavity_5,6,3.694,0.6157,4,0,1,0,1,0,Sulfur oxygenase/reductase,NONE,P29082,NONE,NONE,NONE
2e74_A_cavity_3,7,4.308,0.6154,5,1,0,0,1,0,Cytochrome b6,NONE,P83791,Involved in oxidoreductase activity,NONE,NONE
2qv6_C_cavity_1,6,3.688,0.6147,5,1,0,0,0,0,GTP cyclohydrolase III,NONE,Q57609,NONE,NONE,NONE
2a98_A_cavity_2,8,4.911,0.6139,4,0,2,2,0,0,Inositol-trisphosphate 3-kinase C,NONE,Q96DU7,NONE,NONE,NONE
2okq_B_cavity_1,6,3.683,0.6139,4,0,1,1,0,0,Uncharacterized protein ybaA,NONE,P0AAQ9,NONE,NONE,NONE
1wjt_A_cavity_1,6,3.678,0.613,6,0,0,0,0,0,Transcription elongation factor A protein 3,NONE,P23881,NONE,NONE,NONE
1kv9_A_cavity_2,6,3.669,0.6115,5,0,1,0,0,0,Quinohemoprotein alcohol dehydrogenase ADH IIB,NONE,Q8GR64,Involved in iron ion binding,NONE,NONE
2ols_A_cavity_2,6,3.648,0.608,5,1,0,0,0,0,Phosphoenolpyruvate synthase,NONE,Q9K0I2,NONE,NONE,NONE
1yf2_B_cavity_6,6,3.646,0.6076,5,0,1,0,0,0,Type-1 restriction enzyme MjaXIP specificity protein,NONE,Q57594,NONE,NONE,NONE
1k44_E_cavity_1,6,3.633,0.6055,4,1,0,0,1,0,Nucleoside diphosphate kinase,NONE,P84284,NONE,NONE,NONE
2k8f_A_cavity_1,6,3.631,0.6052,5,0,1,0,0,0,Histone acetyltransferase p300,NONE,Q09472,NONE,NONE,NONE
2fxt_A_cavity_1,6,3.629,0.6049,5,1,0,0,0,0,Mitochondrial import inner membrane translocase subunit TIM44,NONE,Q01852,NONE,NONE,NONE
1qx4_A_cavity_2,6,3.628,0.6046,5,1,0,0,0,0,NADH-cytochrome b5 reductase 3,NONE,P20070,Involved in oxidoreductase activity,NONE,NONE
2aao_A_cavity_1,6,3.626,0.6044,6,0,0,0,0,0,Calcium-dependent protein kinase 1,NONE,Q06850,NONE,NONE,NONE
