Pharma Model,Num Feature,Fit,Norm Fit,Num Hydrophobic,Num HB Acceptor,Num HB Donor,Num Positive,Num Negative,Num Aromatic,Name,Class,Uniplot,Function,Disease
3hb3_A_cavity_1,4,2.916,0.729,3,1,0,0,0,0,NONE,NONE,NONE,NONE,NONE
2h63_A_cavity_1,5,2.928,0.5856,4,1,0,0,0,0,Biliverdin reductase A,NONE,P53004,NONE,NONE
1tuy_B_cavity_4,5,2.852,0.5703,3,0,2,0,0,0,Acetate kinase,NONE,P38502,Involved in kinase activity,NONE
2g18_C_cavity_3,5,2.809,0.5618,4,1,0,0,0,0,Phycocyanobili,NONE,Q93TN0,NONE,NONE
2z2m_B_cavity_2,5,2.771,0.5543,3,1,1,0,0,0,Penicillin-binding protein 2X,NONE,P59676,Cell wall/membrane/envelope biogenesis,NONE
3d0o_A_cavity_2,5,2.734,0.5468,3,2,0,0,0,0,L-lactate dehydrogenase 1,NONE,Q5HJD7,NONE,NONE
1tqz_A_cavity_1,5,2.731,0.5462,3,1,1,0,0,0,Adaptin ear-binding coat-associated protein 1,NONE,Q9CR95,NONE,NONE
2hjs_A_cavity_1,5,2.711,0.5422,4,1,0,0,0,0,USG-1 protein homolog,NONE,O87014,NONE,NONE
1lsh_A_cavity_5,5,2.592,0.5184,4,1,0,0,0,0,Vitellogenin,NONE,Q91062,NONE,NONE
2fiy_B_cavity_3,5,2.546,0.5092,3,0,2,0,0,0,Protein fdhE homolog,NONE,Q9HV00,NONE,NONE
3gwj_A_cavity_3,5,2.515,0.5031,2,1,1,1,0,0,Arylphorin,NONE,Q7Z1F8,NONE,NONE
1t0f_B_cavity_1,6,2.99,0.4984,4,0,2,0,0,0,Transposon Tn7 transposition protein tnsA,NONE,P13988,NONE,NONE
1qcb_F_cavity_1,6,2.956,0.4927,5,1,0,0,0,0,"Heat-labile enterotoxin IIB, B chain",NONE,P43529,NONE,NONE
1c8s_A_cavity_1,6,2.945,0.4909,4,1,1,0,0,0,Bacteriorhodopsin,NONE,P02945,Involved in ion channel activity,NONE
1igw_B_cavity_1,6,2.928,0.488,5,1,0,0,0,0,Isocitrate lyase,NONE,P0A9G6,NONE,NONE
2dbo_A_cavity_1,6,2.927,0.4879,3,2,1,0,0,0,D-tyrosyl-tRNA(Tyr) deacylase,NONE,O66742,NONE,NONE
1o8v_A_cavity_1,7,3.414,0.4877,5,1,1,0,0,0,Fatty acid-binding protein homolog 1,NONE,Q02970,Involved in fatty acid binding,NONE
1qx4_A_cavity_2,6,2.897,0.4828,5,1,0,0,0,0,NADH-cytochrome b5 reductase 3,NONE,P20070,Involved in oxidoreductase activity,NONE
1bip_A_cavity_3,6,2.884,0.4806,3,2,1,0,0,0,Alpha-amylase/trypsin inhibitor,NONE,P01087,NONE,NONE
2i62_A_cavity_1,6,2.874,0.479,3,0,1,2,0,0,Nicotinamide N-methyltransferase,NONE,O55239,NONE,NONE
2a7w_C_cavity_1,6,2.87,0.4783,5,1,0,0,0,0,Phosphoribosyl-ATP pyrophosphatase,NONE,Q7P0E6,NONE,NONE
1yf2_B_cavity_6,6,2.844,0.474,5,0,1,0,0,0,Type-1 restriction enzyme MjaXIP specificity protein,NONE,Q57594,NONE,NONE
2pby_D_cavity_1,6,2.841,0.4735,4,1,1,0,0,0,Glutaminase,NONE,Q5KY26,NONE,NONE
1ems_B_cavity_3,6,2.838,0.4729,4,0,2,0,0,0,Nitrilase and fragile histidine triad fusion protein NitFhit [Includes: Bis(5-adenosyl)-triphosphatase,NONE,O76463,"Involved in hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",NONE
1yiv_A_cavity_1,8,3.749,0.4686,4,2,0,2,0,0,Myelin P2 protein,NONE,P0C6G6,NONE,NONE
