From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length
Q9Y265,Q9Y265,reviewed,RUVB1_HUMAN,RuvB-like 1 (EC 3.6.4.12) (49 kDa TATA box-binding protein-interacting protein) (49 kDa TBP-interacting protein) (54 kDa erythrocyte cytosolic protein) (ECP-54) (INO80 complex subunit H) (Nuclear matrix protein 238) (NMP 238) (Pontin 52) (TIP49a) (TIP60-associated protein 54-alpha) (TAP54-alpha),RUVBL1 INO80H NMP238 TIP49 TIP49A,Homo sapiens (Human),456
Q60175,Q60175,reviewed,SECY_METJA,Protein translocase subunit SecY (Protein transport protein SEC61 subunit alpha homolog),secY MJ0478,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii),436
P19456,P19456,reviewed,PMA2_ARATH,"ATPase 2, plasma membrane-type (PM H(+)-ATPase 2) (Plasma membrane-type ATPase 2) (EC 7.1.2.1) (Proton pump 2)",AHA2 At4g30190 F9N11.40,Arabidopsis thaliana (Mouse-ear cress),948
P19221,P19221,reviewed,THRB_MOUSE,Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain],F2 Cf2,Mus musculus (Mouse),618
P31442,P31442,reviewed,EMRD_ECOLI,Multidrug resistance protein D,emrD yicQ b3673 JW5634,Escherichia coli (strain K12),394
O65202,O65202,reviewed,ACOX1_ARATH,Peroxisomal acyl-coenzyme A oxidase 1 (AOX 1) (EC 1.3.3.6) (Long-chain acyl-CoA oxidase) (AtCX1),ACX1 At4g16760 dl4405c FCAALL.119,Arabidopsis thaliana (Mouse-ear cress),664
P63456,P9WQD6,reviewed,KASB_MYCTO,3-oxoacyl-[acyl-carrier-protein] synthase 2 (EC 2.3.1.294) (Beta-ketoacyl-ACP synthase 2) (KAS 2),kasB MT2306,Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh),417
P63456,P9WQD7,reviewed,KASB_MYCTU,3-oxoacyl-[acyl-carrier-protein] synthase 2 (EC 2.3.1.294) (Beta-ketoacyl-ACP synthase 2) (KAS 2) (Beta-ketoacyl-acyl carrier protein synthase KasB) (Meromycolic acid 3-oxoacyl-(acyl carrier protein) synthase II),kasB Rv2246 MTCY427.27,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),417
Q94655,Q94655,reviewed,GSHR_PLAFK,Glutathione reductase (GRase) (PfGR) (EC 1.8.1.7),GR GR2,Plasmodium falciparum (isolate K1 / Thailand),500
P06737,P06737,reviewed,PYGL_HUMAN,"Glycogen phosphorylase, liver form (EC 2.4.1.1)",PYGL,Homo sapiens (Human),847
RGS6_HUMAN,P49758,reviewed,RGS6_HUMAN,Regulator of G-protein signaling 6 (RGS6) (S914),RGS6,Homo sapiens (Human),472
Q9YHT1,Q9YHT1,reviewed,SDHA_CHICK,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial (EC 1.3.5.1) (Flavoprotein subunit of complex II) (Fp) (Malate dehydrogenase [quinone] flavoprotein subunit) (EC 1.1.5.-)",SDHA,Gallus gallus (Chicken),665
Q980N4,Q980N4,reviewed,CDC61_SACS2,ORC1-type DNA replication protein 1,cdc6-1 SSO0257,Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) (Sulfolobus solfataricus),397
Q8ZNF9,Q8ZNF9,reviewed,RHMD_SALTY,L-rhamnonate dehydratase (RhamD) (EC 4.2.1.90),rhmD yfaW STM2291,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),405
