From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length
P27695,P27695,reviewed,APEX1_HUMAN,"DNA repair nuclease/redox regulator APEX1 (EC 3.1.11.2) (EC 3.1.21.-) (APEX nuclease) (APEN) (Apurinic-apyrimidinic endonuclease 1) (AP endonuclease 1) (APE-1) (DNA-(apurinic or apyrimidinic site) endonuclease) (Redox factor-1) (REF-1) [Cleaved into: DNA repair nuclease/redox regulator APEX1, mitochondrial]",APEX1 APE APE1 APEX APX HAP1 REF1,Homo sapiens (Human),318
P10827,P10827,reviewed,THA_HUMAN,Thyroid hormone receptor alpha (Nuclear receptor subfamily 1 group A member 1) (V-erbA-related protein 7) (EAR-7) (c-erbA-1) (c-erbA-alpha),THRA EAR7 ERBA1 NR1A1 THRA1 THRA2,Homo sapiens (Human),490
P02766,P02766,reviewed,TTHY_HUMAN,Transthyretin (ATTR) (Prealbumin) (TBPA),TTR PALB,Homo sapiens (Human),147
P11388,P11388,reviewed,TOP2A_HUMAN,"DNA topoisomerase 2-alpha (EC 5.6.2.2) (DNA topoisomerase II, alpha isozyme)",TOP2A TOP2,Homo sapiens (Human),1531
Q13887,Q13887,reviewed,KLF5_HUMAN,Krueppel-like factor 5 (Basic transcription element-binding protein 2) (BTE-binding protein 2) (Colon krueppel-like factor) (GC-box-binding protein 2) (Intestinal-enriched krueppel-like factor) (Transcription factor BTEB2),KLF5 BTEB2 CKLF IKLF,Homo sapiens (Human),457
P51452,P51452,reviewed,DUS3_HUMAN,Dual specificity protein phosphatase 3 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase VHR) (Vaccinia H1-related phosphatase) (VHR),DUSP3 VHR,Homo sapiens (Human),185
P07339,P07339,reviewed,CATD_HUMAN,Cathepsin D (EC 3.4.23.5) [Cleaved into: Cathepsin D light chain; Cathepsin D heavy chain],CTSD CPSD,Homo sapiens (Human),412
O15164,O15164,reviewed,TIF1A_HUMAN,Transcription intermediary factor 1-alpha (TIF1-alpha) (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRIM24) (RING finger protein 82) (RING-type E3 ubiquitin transferase TIF1-alpha) (Tripartite motif-containing protein 24),TRIM24 RNF82 TIF1 TIF1A,Homo sapiens (Human),1050
P47989,P47989,reviewed,XDH_HUMAN,Xanthine dehydrogenase/oxidase [Includes: Xanthine dehydrogenase (XD) (EC 1.17.1.4); Xanthine oxidase (XO) (EC 1.17.3.2) (Xanthine oxidoreductase) (XOR)],XDH XDHA,Homo sapiens (Human),1333
Q5NUL3,Q5NUL3,reviewed,FFAR4_HUMAN,Free fatty acid receptor 4 (G-protein coupled receptor 120) (G-protein coupled receptor 129) (G-protein coupled receptor GT01) (G-protein coupled receptor PGR4) (Omega-3 fatty acid receptor 1),FFAR4 GPR120 GPR129 O3FAR1 PGR4,Homo sapiens (Human),361
P07947,P07947,reviewed,YES_HUMAN,Tyrosine-protein kinase Yes (EC 2.7.10.2) (Proto-oncogene c-Yes) (p61-Yes),YES1 YES,Homo sapiens (Human),543
O75460,O75460,reviewed,ERN1_HUMAN,Serine/threonine-protein kinase/endoribonuclease IRE1 (Endoplasmic reticulum-to-nucleus signaling 1) (Inositol-requiring protein 1) (hIRE1p) (Ire1-alpha) (IRE1a) [Includes: Serine/threonine-protein kinase (EC 2.7.11.1); Endoribonuclease (EC 3.1.26.-)],ERN1 IRE1,Homo sapiens (Human),977
P67870,P67870,reviewed,CSK2B_HUMAN,Casein kinase II subunit beta (CK II beta) (Phosvitin) (Protein G5a),CSNK2B CK2N G5A,Homo sapiens (Human),215
O75469,O75469,reviewed,NR1I2_HUMAN,Nuclear receptor subfamily 1 group I member 2 (Orphan nuclear receptor PAR1) (Orphan nuclear receptor PXR) (Pregnane X receptor) (Steroid and xenobiotic receptor) (SXR),NR1I2 PXR,Homo sapiens (Human),434
Q92753,Q92753,reviewed,RORB_HUMAN,Nuclear receptor ROR-beta (Nuclear receptor RZR-beta) (Nuclear receptor subfamily 1 group F member 2) (Retinoid-related orphan receptor-beta),RORB NR1F2 RZRB,Homo sapiens (Human),470
P51812,P51812,reviewed,KS6A3_HUMAN,Ribosomal protein S6 kinase alpha-3 (S6K-alpha-3) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 3) (p90-RSK 3) (p90RSK3) (Insulin-stimulated protein kinase 1) (ISPK-1) (MAP kinase-activated protein kinase 1b) (MAPK-activated protein kinase 1b) (MAPKAP kinase 1b) (MAPKAPK-1b) (Ribosomal S6 kinase 2) (RSK-2) (pp90RSK2),RPS6KA3 ISPK1 MAPKAPK1B RSK2,Homo sapiens (Human),740
P21397,P21397,reviewed,AOFA_HUMAN,Amine oxidase [flavin-containing] A (EC 1.4.3.21) (EC 1.4.3.4) (Monoamine oxidase type A) (MAO-A),MAOA,Homo sapiens (Human),527
Q92731,Q92731,reviewed,ESR2_HUMAN,Estrogen receptor beta (ER-beta) (Nuclear receptor subfamily 3 group A member 2),ESR2 ESTRB NR3A2,Homo sapiens (Human),530
