Target Name,ChEMBL-ID,UniProt ID,PDB Visualization,TTD ID,Probability,Model accuracy
Endoplasmic reticulum-associated amyloid beta-peptide-binding protein,CHEMBL4159,Q99714,2O23,Not Available,100%,70%
DNA-(apurinic or apyrimidinic site) lyase,CHEMBL5619,P27695,6BOW,T13348,98%,91%
Transthyretin,CHEMBL3194,P02766,6SUG,T86462,97%,91%
Tyrosyl-DNA phosphodiesterase 1,CHEMBL1075138,Q9NUW8,6N0D,Not Available,96%,71%
Thyroid hormone receptor alpha,CHEMBL1860,P10827,3ILZ,T79591,96%,99%
Monoamine oxidase A,CHEMBL1951,P21397,2Z5Y,Not Available,95%,91%
Dual specificity protein phosphatase 3,CHEMBL2635,P51452,3F81,Not Available,94%,94%
DNA topoisomerase II alpha,CHEMBL1806,P11388,6ZY5,T17048,94%,89%
Arachidonate 12-lipoxygenase,CHEMBL3687,P18054,3D3L,Not Available,93%,76%
Ribosomal protein S6 kinase alpha 3,CHEMBL2345,P51812,4D9T,Not Available,92%,96%
Xanthine dehydrogenase,CHEMBL1929,P47989,2E1Q,T40954,92%,96%
Kruppel-like factor 5,CHEMBL1293249,Q13887,Not Available,Not Available,92%,86%
Serine/threonine-protein kinase/endoribonuclease IRE1,CHEMBL1163101,O75460,6W39,Not Available,92%,98%
G-protein coupled receptor 120,CHEMBL5339,Q5NUL3,Not Available,Not Available,91%,96%
Estrogen receptor beta,CHEMBL242,Q92731,1QKM,T80896,90%,98%
Transcription intermediary factor 1-alpha,CHEMBL3108638,O15164,4YBM,Not Available,89%,96%
Cathepsin D,CHEMBL2581,P07339,4OD9,T67102,89%,99%
Pregnane X receptor,CHEMBL3401,O75469,6TFI,T82702,87%,95%
Glyoxalase I,CHEMBL2424,Q04760,3W0T,Not Available,86%,92%
Tyrosine-protein kinase YES,CHEMBL2073,P07947,2HDA,Not Available,85%,83%
Glycine receptor subunit alpha-1,CHEMBL5845,P23415,4X5T,T50269,83%,91%
"Glutamate receptor ionotropic, AMPA 2",CHEMBL4016,P42262,2WJW,T42392,83%,87%
Dual specificity protein kinase CLK4,CHEMBL4203,Q9HAZ1,6FYV,Not Available,83%,94%
Glycine transporter 2,CHEMBL3060,Q9Y345,Not Available,Not Available,82%,99%
Casein kinase II alpha/beta,CHEMBL3038477,P67870,6TLS,T51565,82%,99%
G-protein coupled bile acid receptor 1,CHEMBL5409,Q8TDU6,7CFM,T86273,81%,94%
L-lactate dehydrogenase B chain,CHEMBL4940,P07195,1I0Z,Not Available,80%,96%
Proteasome component C5,CHEMBL4208,P20618,6KWY,Not Available,78%,90%
Protein-tyrosine phosphatase 2C,CHEMBL3864,Q06124,5EHR,T13057,77%,94%
Nuclear receptor ROR-beta,CHEMBL3091268,Q92753,Not Available,Not Available,76.30%,95.50%
Coagulation factor XIII,CHEMBL4530,P00488,4KTY,Not Available,76%,96%
Macrophage migration inhibitory factor,CHEMBL2085,P14174,6B1K,T39977,76%,81%
Adaptor-associated kinase,CHEMBL3830,Q2M2I8,5TE0,T98271,75%,83.10%
NT-3 growth factor receptor,CHEMBL5608,Q16288,6KZD,Not Available,74%,96%
Phosphodiesterase 11A,CHEMBL2717,Q9HCR9,Not Available,Not Available,73%,85%
C-X-C chemokine receptor type 4,CHEMBL2107,P61073,3ODU,T96079,73%,93.10%
Galectin-3,CHEMBL4531,P17931,6FOF,T72038,72%,96.90%
Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1,CHEMBL2288,Q13526,1PIN,T16308,72%,92%
Serine/threonine-protein kinase TBK1,CHEMBL5408,Q9UHD2,6NT9,Not Available,71.80%,90%
Calpain 1,CHEMBL3891,P07384,1ZCM,Not Available,71%,93%
Aldo-keto reductase family 1 member C1,CHEMBL5905,Q04828,1MRQ,Not Available,71%,92%
Beta-1 adrenergic receptor,CHEMBL213,P08588,7BVQ,T44068,70%,96%
Cystic fibrosis transmembrane conductance regulator,CHEMBL4051,P13569,6MSM,T55654,69%,96%
Serine/threonine protein kinase NLK,CHEMBL5364,Q9UBE8,Not Available,Not Available,69%,79%
Nuclear receptor subfamily 4 group A member 1,CHEMBL1293229,P22736,4RZF,Not Available,69%,78%
Heat shock protein HSP 90-alpha,CHEMBL3880,P07900,3Q6M,Not Available,69%,96%
Protein kinase C zeta,CHEMBL3438,Q05513,Not Available,T59190,68%,88%
Signal transducer and activator of transcription 1-alpha/beta,CHEMBL6101,P42224,1YVL,T64205,68%,73%
Dual specificity phosphatase Cdc25B,CHEMBL4804,P30305,1QB0,Not Available,67%,79.50%
IgG receptor FcRn large subunit p51,CHEMBL5966,P55899,6FGB,Not Available,67%,91%
Beta-glucuronidase,CHEMBL2728,P08236,3HN3,T96413,67%,78%
Vasopressin V1b receptor,CHEMBL1921,P47901,Not Available,Not Available,66%,92.50%
Aldose reductase,CHEMBL1900,P15121,1US0,T26623,66.10%,92%
Beta-glucosidase,CHEMBL3761,Q9HCG7,Not Available,Not Available,66%,99%
P2X purinoceptor 4,CHEMBL2104,Q99571,Not Available,T60330,66%,97.50%
Lysosomal Pro-X carboxypeptidase,CHEMBL2335,P42785,3N2Z,Not Available,65%,100%
PI3-kinase p110-alpha/p85-alpha,CHEMBL2111367,P27986,4JPS,T80276,65%,94%
Methionine aminopeptidase 2,CHEMBL3922,P50579,1B6A,T75596,65%,97%
NADPH oxidase 1,CHEMBL1287628,Q9Y5S8,Not Available,Not Available,64%,95%
Nuclear factor NF-kappa-B p105 subunit,CHEMBL3251,P19838,1SVC,Not Available,64%,96%
Maternal embryonic leucine zipper kinase,CHEMBL4578,Q14680,5K00,T61518,64%,82%
Cyclin-dependent kinase 5,CHEMBL4036,Q00535,4AU8,T20973,64%,79%
Ribosomal protein S6 kinase alpha 1,CHEMBL2553,Q15418,2Z7Q,Not Available,63%,85%
