From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length
P00171,P00171,reviewed,CYB5_BOVIN,Cytochrome b5,CYB5A CYB5,Bos taurus (Bovine),134
Q9I317,Q9I317,reviewed,PSCE_PSEAE,Type 3 secretion system chaperone PscE (Pseudomonas secretion protein E) (Type III export protein PscE),pscE PA1718,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),67
Q9Y265,Q9Y265,reviewed,RUVB1_HUMAN,RuvB-like 1 (EC 3.6.4.12) (49 kDa TATA box-binding protein-interacting protein) (49 kDa TBP-interacting protein) (54 kDa erythrocyte cytosolic protein) (ECP-54) (INO80 complex subunit H) (Nuclear matrix protein 238) (NMP 238) (Pontin 52) (TIP49a) (TIP60-associated protein 54-alpha) (TAP54-alpha),RUVBL1 INO80H NMP238 TIP49 TIP49A,Homo sapiens (Human),456
P24186,P24186,reviewed,FOLD_ECOLI,Bifunctional protein FolD [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)],folD ads b0529 JW0518,Escherichia coli (strain K12),288
P07173,P07173,reviewed,CYCR_BLAVI,Photosynthetic reaction center cytochrome c subunit (Cytochrome c558/c559),pufC cytC BVIRIDIS_00500,Blastochloris viridis (Rhodopseudomonas viridis),356
O75534,O75534,reviewed,CSDE1_HUMAN,Cold shock domain-containing protein E1 (N-ras upstream gene protein) (Protein UNR),CSDE1 D1S155E KIAA0885 NRU UNR,Homo sapiens (Human),798
Q93TN0,Q93TN0,reviewed,PCYA_NOSS1,Phycocyanobilin:ferredoxin oxidoreductase (PCB:ferredoxin oxidoreductase) (EC 1.3.7.5),pcyA alr3707,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576),245
Q60175,Q60175,reviewed,SECY_METJA,Protein translocase subunit SecY (Protein transport protein SEC61 subunit alpha homolog),secY MJ0478,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii),436
Q2YLR9,Q2YLR9,reviewed,MDH_BRUA2,Malate dehydrogenase (EC 1.1.1.37),mdh BAB1_1927,Brucella abortus (strain 2308),320
P06737,P06737,reviewed,PYGL_HUMAN,"Glycogen phosphorylase, liver form (EC 2.4.1.1)",PYGL,Homo sapiens (Human),847
CITE2_HUMAN,Q99967,reviewed,CITE2_HUMAN,Cbp/p300-interacting transactivator 2 (MSG-related protein 1) (MRG-1) (P35srj),CITED2 MRG1,Homo sapiens (Human),270
P08500,P0CY48,reviewed,UCRI_RHOCA,Ubiquinol-cytochrome c reductase iron-sulfur subunit (EC 7.1.1.8) (Rieske iron-sulfur protein) (RISP),petA fbcF,Rhodobacter capsulatus (Rhodopseudomonas capsulata),191
P08500,D5ANZ2,reviewed,UCRI_RHOCB,Ubiquinol-cytochrome c reductase iron-sulfur subunit (EC 7.1.1.8) (Rieske iron-sulfur protein) (RISP),petA fbcF RCAP_rcc02768,Rhodobacter capsulatus (strain ATCC BAA-309 / NBRC 16581 / SB1003),191
A6QHR2,A6QHR2,reviewed,SYY_STAAE,Tyrosine--tRNA ligase (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS),tyrS NWMN_1622,Staphylococcus aureus (strain Newman),420
P42315,P42315,reviewed,SCOA_BACSU,Probable succinyl-CoA:3-ketoacid coenzyme A transferase subunit A (EC 2.8.3.5) (Succinyl-CoA:3-oxoacid CoA-transferase) (OXCT A),scoA yxjD BSU38990 N15K,Bacillus subtilis (strain 168),238
Q02323,Q02323,reviewed,DPSS_PINSY,Pinosylvin synthase (EC 2.3.1.146) (Dihydropinosylvin synthase) (Pinosylvin-forming stilbene synthase) (Stilbene synthase) (STS),,Pinus sylvestris (Scotch pine),393
Q9NPC7,Q9NPC7,reviewed,MYNN_HUMAN,Myoneurin (Zinc finger and BTB domain-containing protein 31),MYNN OSZF ZBTB31 SBBIZ1,Homo sapiens (Human),610
Q52430,Q52430,reviewed,AVRP3_PSESH,Cysteine protease avirulence protein AvrPphB (EC 3.4.22.-) [Cleaved into: 7 kDa product; 28 kDa product],avrPph3,Pseudomonas savastanoi pv. phaseolicola (Pseudomonas syringae pv. phaseolicola),267
Q01852,Q01852,reviewed,TIM44_YEAST,Mitochondrial import inner membrane translocase subunit TIM44 (Inner membrane import site protein 45) (ISP45) (Membrane import machinery protein MIM44) (Mitochondrial protein import protein 1),TIM44 ISP45 MIM44 MPI1 YIL022W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),431
P00080,P00080,reviewed,CYC2_RHOGL,Cytochrome c2,,Rhodopila globiformis (Rhodopseudomonas globiformis),106
Q9QXT8,Q9QXT8,reviewed,CSEN_MOUSE,Calsenilin (A-type potassium channel modulatory protein 3) (DRE-antagonist modulator) (DREAM) (Kv channel-interacting protein 3) (KChIP3),Kcnip3 Csen Dream Kchip3,Mus musculus (Mouse),256
Q15637,Q15637,reviewed,SF01_HUMAN,Splicing factor 1 (Mammalian branch point-binding protein) (BBP) (mBBP) (Transcription factor ZFM1) (Zinc finger gene in MEN1 locus) (Zinc finger protein 162),SF1 ZFM1 ZNF162,Homo sapiens (Human),639
P29549,P29549,reviewed,TEBA_STENO,Telomere-binding protein subunit alpha (TEBP alpha) (Telomere-binding protein 56 kDa subunit),MAC-56A; MAC-56K; MAC-56S,Sterkiella nova (Ciliate) (Oxytricha nova),495
P84284,P9WJH6,reviewed,NDK_MYCTO,Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase),ndkA ndk MT2521,Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh),136
P84284,P9WJH7,reviewed,NDK_MYCTU,Nucleoside diphosphate kinase (NDK) (NDKA) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase),ndkA ndk Rv2445c MTCY428.01 MTV008.01c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),136
