From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Names
P53004,P53004,reviewed,BIEA_HUMAN,Biliverdin reductase A (BVR A) (EC 1.3.1.24) (Biliverdin-IX alpha-reductase),BLVRA BLVR BVR,Homo sapiens (Human),296,BLVRA
P38502,P38502,reviewed,ACKA_METTE,Acetate kinase (EC 2.7.2.1) (Acetokinase),ackA ack,Methanosarcina thermophila,408,ackA
Q93TN0,Q93TN0,reviewed,PCYA_NOSS1,Phycocyanobilin:ferredoxin oxidoreductase (PCB:ferredoxin oxidoreductase) (EC 1.3.7.5),pcyA alr3707,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576),245,pcyA
P59676,P59676,reviewed,PBPX_STRR6,Penicillin-binding protein 2X (PBP-2X) (PBP2X),pbpX spr0304,Streptococcus pneumoniae (strain ATCC BAA-255 / R6),750,pbpX
Q5HJD7,Q5HJD7,reviewed,LDH1_STAAC,L-lactate dehydrogenase 1 (L-LDH 1) (EC 1.1.1.27),ldh1 SACOL0222,Staphylococcus aureus (strain COL),317,ldh1
Q9CR95,Q9CR95,reviewed,NECP1_MOUSE,Adaptin ear-binding coat-associated protein 1 (NECAP endocytosis-associated protein 1) (NECAP-1),Necap1,Mus musculus (Mouse),275,Necap1
O87014,O87014,reviewed,USG_PSEAE,USG-1 protein homolog,usg PA3116,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),336,usg
Q91062,Q91062,reviewed,VIT_ICHUN,Vitellogenin (VTG) [Cleaved into: Lipovitellin LV-1N; Lipovitellin LV-1C; Lipovitellin LV-2],,Ichthyomyzon unicuspis (Silver lamprey),1823,
Q9HV00,Q9HV00,reviewed,FDHE_PSEAE,Protein FdhE homolog,fdhE PA4809,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),309,fdhE
Q7Z1F8,Q7Z1F8,reviewed,ARY_ANTPE,Arylphorin,,Antheraea pernyi (Chinese oak silk moth) (Bombyx pernyi),704,
