Target Name,ChEMBL-ID,UniProt ID,PDB Visualization,TTD ID,Probability,Model accuracy
Endoplasmic reticulum-associated amyloid beta-peptide-binding protein,CHEMBL4159,Q99714,2O23,Not Available,99.80%,70%
DNA-(apurinic or apyrimidinic site) lyase,CHEMBL5619,P27695,6BOW,T13348,98%,91%
Thyroid hormone receptor alpha,CHEMBL1860,P10827,3ILZ,T79591,97%,99%
Tyrosyl-DNA phosphodiesterase 1,CHEMBL1075138,Q9NUW8,6N0D,Not Available,97%,71%
Transthyretin,CHEMBL3194,P02766,6SUG,T86462,95%,91%
DNA topoisomerase II alpha,CHEMBL1806,P11388,6ZY5,T17048,95%,89%
Kruppel-like factor 5,CHEMBL1293249,Q13887,Not Available,Not Available,95%,86%
Dual specificity protein phosphatase 3,CHEMBL2635,P51452,3F81,Not Available,95%,94%
Cathepsin D,CHEMBL2581,P07339,4OD9,T67102,93%,99%
Transcription intermediary factor 1-alpha,CHEMBL3108638,O15164,4YBM,Not Available,93%,96%
Xanthine dehydrogenase,CHEMBL1929,P47989,2E1Q,T40954,91%,96%
G-protein coupled receptor 120,CHEMBL5339,Q5NUL3,Not Available,Not Available,90%,96%
Tyrosine-protein kinase YES,CHEMBL2073,P07947,2HDA,Not Available,89%,83%
Serine/threonine-protein kinase/endoribonuclease IRE1,CHEMBL1163101,O75460,6W39,Not Available,88%,98%
Casein kinase II alpha/beta,CHEMBL3038477,P67870,6TLS,T51565,88%,99%
Arachidonate 12-lipoxygenase,CHEMBL3687,P18054,3D3L,Not Available,87%,76%
Pregnane X receptor,CHEMBL3401,O75469,6TFI,T82702,87%,95%
Nuclear receptor ROR-beta,CHEMBL3091268,Q92753,Not Available,Not Available,84.80%,95.50%
Ribosomal protein S6 kinase alpha 3,CHEMBL2345,P51812,4D9T,Not Available,83%,96%
Monoamine oxidase A,CHEMBL1951,P21397,2Z5Y,Not Available,83%,91%
Estrogen receptor beta,CHEMBL242,Q92731,1QKM,T80896,82%,98%
