From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length
P30340,P30340,reviewed,SMTB_SYNE7,Transcriptional repressor SmtB,smtB Synpcc7942_1291,Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2),122
P49792,P49792,reviewed,RBP2_HUMAN,E3 SUMO-protein ligase RanBP2 (EC 2.3.2.-) (358 kDa nucleoporin) (Nuclear pore complex protein Nup358) (Nucleoporin Nup358) (Ran-binding protein 2) (RanBP2) (p270),RANBP2 NUP358,Homo sapiens (Human),3224
Q9I317,Q9I317,reviewed,PSCE_PSEAE,Type 3 secretion system chaperone PscE (Pseudomonas secretion protein E) (Type III export protein PscE),pscE PA1718,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),67
Q14919,Q14919,reviewed,NC2A_HUMAN,Dr1-associated corepressor (Dr1-associated protein 1) (Negative cofactor 2-alpha) (NC2-alpha),DRAP1,Homo sapiens (Human),205
Q96DC8,Q96DC8,reviewed,ECHD3_HUMAN,"Enoyl-CoA hydratase domain-containing protein 3, mitochondrial",ECHDC3 PP1494 PP8332,Homo sapiens (Human),303
Q2YLR9,Q2YLR9,reviewed,MDH_BRUA2,Malate dehydrogenase (EC 1.1.1.37),mdh BAB1_1927,Brucella abortus (strain 2308),320
O75534,O75534,reviewed,CSDE1_HUMAN,Cold shock domain-containing protein E1 (N-ras upstream gene protein) (Protein UNR),CSDE1 D1S155E KIAA0885 NRU UNR,Homo sapiens (Human),798
CITE2_HUMAN,Q99967,reviewed,CITE2_HUMAN,Cbp/p300-interacting transactivator 2 (MSG-related protein 1) (MRG-1) (P35srj),CITED2 MRG1,Homo sapiens (Human),270
P18902,P18902,reviewed,RET4_BOVIN,Retinol-binding protein 4 (Plasma retinol-binding protein) (PRBP) (RBP),RBP4,Bos taurus (Bovine),183
Q94655,Q94655,reviewed,GSHR_PLAFK,Glutathione reductase (GRase) (PfGR) (EC 1.8.1.7),GR GR2,Plasmodium falciparum (isolate K1 / Thailand),500
P06737,P06737,reviewed,PYGL_HUMAN,"Glycogen phosphorylase, liver form (EC 2.4.1.1)",PYGL,Homo sapiens (Human),847
Q02323,Q02323,reviewed,DPSS_PINSY,Pinosylvin synthase (EC 2.3.1.146) (Dihydropinosylvin synthase) (Pinosylvin-forming stilbene synthase) (Stilbene synthase) (STS),,Pinus sylvestris (Scotch pine),393
Q8ZNF9,Q8ZNF9,reviewed,RHMD_SALTY,L-rhamnonate dehydratase (RhamD) (EC 4.2.1.90),rhmD yfaW STM2291,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),405
P00173,P00173,reviewed,CYB5_RAT,Cytochrome b5,Cyb5a Cyb5,Rattus norvegicus (Rat),134
O00834,O00834,reviewed,MIC1_TOXGO,Micronemal protein 1 (TgMIC1),MIC1,Toxoplasma gondii,456
P07173,P07173,reviewed,CYCR_BLAVI,Photosynthetic reaction center cytochrome c subunit (Cytochrome c558/c559),pufC cytC BVIRIDIS_00500,Blastochloris viridis (Rhodopseudomonas viridis),356
O67792,O67792,reviewed,COAE_AQUAE,Dephospho-CoA kinase (EC 2.7.1.24) (Dephosphocoenzyme A kinase),coaE aq_1985,Aquifex aeolicus (strain VF5),196
Q52430,Q52430,reviewed,AVRP3_PSESH,Cysteine protease avirulence protein AvrPphB (EC 3.4.22.-) [Cleaved into: 7 kDa product; 28 kDa product],avrPph3,Pseudomonas savastanoi pv. phaseolicola (Pseudomonas syringae pv. phaseolicola),267
