Pharma Model,Num Feature,Fit,Norm Fit,Num Hydrophobic,Num HB Acceptor,Num HB Donor,Num Positive,Num Negative,Num Aromatic,Name,Class,Uniplot,Function,Disease,"Idication
"
3jvg_B_cavity_3,4,4,1,4,0,0,0,0,0,NONE,NONE,NONE,NONE,NONE,"NONE
"
1sh4_A_cavity_1,4,4,1,4,0,0,0,0,0,Cytochrome b5,NONE,P00171,NONE,NONE,"NONE
"
2uwj_G_cavity_1,4,3.83,0.9574,3,1,0,0,0,0,Type III export protein pscE,NONE,Q9I317,NONE,NONE,"NONE
"
2c9o_B_cavity_3,4,3.767,0.9417,4,0,0,0,0,0,RuvB-like 1,NONE,Q9Y265,NONE,NONE,"NONE
"
1b0a_A_cavity_2,5,4.199,0.8397,5,0,0,0,0,0,Bifunctional protein folD,NONE,P24186,NONE,NONE,"NONE
"
1vrn_C_cavity_3,5,4.192,0.8384,5,0,0,0,0,0,Photosynthetic reaction center cytochrome c subunit,NONE,P07173,NONE,NONE,"NONE
"
1x65_A_cavity_1,6,4.911,0.8186,4,1,0,0,1,0,Cold shock domain-containing protein E1,NONE,O75534,NONE,NONE,"NONE
"
2g18_C_cavity_3,5,4.077,0.8154,4,1,0,0,0,0,Phycocyanobili,NONE,Q93TN0,NONE,NONE,"NONE
"
2yxr_A_cavity_6,5,4.053,0.8107,5,0,0,0,0,0,Preprotein translocase subunit secY,NONE,Q60175,NONE,NONE,"NONE
"
3gvi_D_cavity_1,5,3.997,0.7994,4,1,0,0,0,0,Malate dehydrogenase,NONE,Q2YLR9,NONE,NONE,"NONE
"
1exv_A_cavity_7,5,3.985,0.7971,3,1,0,1,0,0,"Glycogen phosphorylase, liver form",NONE,P06737,Carbohydrate transport and metabolism,NONE,"For nutritional supplementation and for treating dietary shortage or imbalance.
"
1r8u_A_cavity_1,5,3.894,0.7788,5,0,0,0,0,0,Cbp/p300-interacting transactivator 2,TRANSCRIPTION/TRANSCRIPTION ACTIVATOR,CITE2_HUMAN,Interferes with the binding of transcription factors HIF-1a and STAT2 to p300/CBP.,NONE,"NONE
"
1zrt_C_cavity_2,5,3.892,0.7784,4,0,1,0,0,0,Ubiquinol-cytochrome c reductase iron-sulfur subunit,NONE,P08500,NONE,NONE,"NONE
"
1jil_A_cavity_2,5,3.887,0.7774,4,0,1,0,0,0,Tyrosyl-tRNA synthetase,NONE,A6QHR2,Catalyzes the attachment of tyrosine to tRNA(Tyr) in a two-step reaction: tyrosine is first activated by ATP to form Tyr-AMP and then transferred to the acceptor end of tRNA(Tyr).,NONE,"NONE
"
3cdk_B_cavity_2,6,4.655,0.7758,4,1,0,1,0,0,Probable succinyl-Co,NONE,P42315,NONE,NONE,"NONE
"
1xes_A_cavity_1,5,3.826,0.7653,5,0,0,0,0,0,Dihydropinosylvin synthase,NONE,Q02323,NONE,NONE,"NONE
"
2vpk_A_cavity_1,5,3.802,0.7604,3,0,1,1,0,0,Myoneurin,NONE,Q9NPC7,NONE,NONE,"NONE
"
1ukf_A_cavity_1,6,4.501,0.7501,4,1,0,0,1,0,Cysteine protease avirulence protein avrPphB,NONE,Q52430,NONE,NONE,"NONE
"
2fxt_A_cavity_1,6,4.496,0.7493,5,1,0,0,0,0,Mitochondrial import inner membrane translocase subunit TIM44,NONE,Q01852,NONE,NONE,"NONE
"
1hro_A_cavity_1,6,4.483,0.7472,5,0,1,0,0,0,Cytochrome c2,NONE,P00080,Involved in iron ion binding,NONE,"NONE
"
2jul_A_cavity_2,6,4.35,0.7249,6,0,0,0,0,0,Calsenilin,NONE,Q9QXT8,NONE,NONE,"NONE
"
1k1g_A_cavity_1,6,4.344,0.724,5,0,1,0,0,0,Splicing factor 1,NONE,Q15637,NONE,NONE,"NONE
"
1k8g_B_cavity_2,6,4.271,0.7119,4,0,1,0,1,0,Telomere-binding protein subunit alpha,NONE,P29549,NONE,NONE,"NONE
"
1k44_E_cavity_1,6,4.267,0.7112,4,1,0,0,1,0,Nucleoside diphosphate kinase,NONE,P84284,NONE,NONE,"NONE
"
1f0o_A_cavity_1,6,4.255,0.7091,5,0,1,0,0,0,Type-2 restriction enzyme PvuII,NONE,P23657,NONE,NONE,"NONE
"
2qv6_C_cavity_1,6,4.209,0.7015,5,1,0,0,0,0,GTP cyclohydrolase III,NONE,Q57609,NONE,NONE,"NONE
"
1c8s_A_cavity_1,6,4.187,0.6978,4,1,1,0,0,0,Bacteriorhodopsin,NONE,P02945,Involved in ion channel activity,NONE,"NONE
"
2rfa_A_cavity_1,6,4.179,0.6965,5,1,0,0,0,0,Transient receptor potential cation channel subfamily V member 6,NONE,Q91WD2,NONE,NONE,"NONE
"
2a7s_A_cavity_3,6,4.149,0.6915,6,0,0,0,0,0,Probable propionyl-CoA carboxylase beta chain 5,NONE,P96885,NONE,NONE,"NONE
"
2cst_B_cavity_1,7,4.819,0.6885,5,1,0,1,0,0,"Aspartate aminotransferase, cytoplasmic",NONE,P00504,"Involved in transferase activity, transferring nitrogenous groups",NONE,"NONE
"
1ahj_F_cavity_2,6,4.127,0.6879,6,0,0,0,0,0,Nitrile hydratase subunit alpha,NONE,P13448,NONE,NONE,"NONE
"
1p4t_A_cavity_2,6,4.114,0.6857,5,1,0,0,0,0,Surface protein A,NONE,Q9RP17,Involved in porin activity,NONE,"NONE
"
1qx4_A_cavity_2,6,4.094,0.6823,5,1,0,0,0,0,NADH-cytochrome b5 reductase 3,NONE,P20070,Involved in oxidoreductase activity,NONE,"NONE
"
1v1f_A_cavity_1,6,4.087,0.6812,5,1,0,0,0,0,Calcineurin B-like protein 4,NONE,O81223,Involved in calcium ion binding,NONE,"NONE
"
1zag_D_cavity_1,6,4.074,0.6789,4,1,0,1,0,0,Zinc-alpha-2-glycoprotein,LIPID MOBILIZATION FACTOR,ZA2G_HUMAN,Stimulates lipid degradation in adipocytes and causes the extensive fat losses associated with some advanced cancers. May bind polyunsaturated fatty acids.,NONE,"NONE
"
1yf6_L_cavity_3,6,4.062,0.6771,4,1,0,1,0,0,Reaction center protein H chain,NONE,P0C0Y7,NONE,NONE,"NONE
"
1yiv_A_cavity_1,8,5.38,0.6725,4,2,0,2,0,0,Myelin P2 protein,NONE,P0C6G6,NONE,NONE,"NONE
"
1ma1_A_cavity_1,6,4.035,0.6725,5,1,0,0,0,0,Superoxide dismutase [Fe],NONE,P18868,NONE,NONE,"NONE
"
1k9k_A_cavity_2,6,4.023,0.6705,4,0,1,1,0,0,Protein S100-A6,SIGNALING PROTEIN,S10A6_HUMAN,NONE,NONE,"NONE
"
1oy1_D_cavity_1,6,4,0.6667,4,0,1,1,0,0,Enhancing lycopene biosynthesis protein 2,NONE,P0ABU5,"Secondary metabolites biosynthesis, transport and catabolism",NONE,"NONE
"
2okq_B_cavity_1,6,4,0.6667,4,0,1,1,0,0,Uncharacterized protein ybaA,NONE,P0AAQ9,NONE,NONE,"NONE
"
1tdj_A_cavity_3,6,4,0.6667,4,0,1,1,0,0,Threonine dehydratase biosynthetic,NONE,P04968,"Catalyzes the anaerobic formation of alpha-ketobutyrate and ammonia from threonine in a two-step reaction. The first step involved a dehydration of threonine and a production of enamine intermediates (aminocrotonate), which tautomerizes to its imine form (iminobutyrate). Both intermediates are unstable and short-lived. The second step is the nonenzymatic hydrolysis of the enamine/imine intermediates to form 2-ketobutyrate and free ammonia. In the low water environment of the cell, the second step is accelerated by RidA.",NONE,"NONE
"
2gk9_A_cavity_2,6,3.998,0.6663,6,0,0,0,0,0,Phosphatidylinositol-5-phosphate 4-kinase type-2 gamma,NONE,Q8TBX8,NONE,NONE,"NONE
"
2gl8_C_cavity_1,6,3.99,0.6651,5,0,1,0,0,0,Retinoic acid receptor RXR-gamma,HORMONE/GROWTH FACTOR RECEPTOR,RXRG_HUMAN,Nuclear hormone receptor. Involved in the retinoic acid response pathway. Binds 9-cis retinoic acid (9C-RA) (By similarity).,NONE,"NONE
"
1dos_A_cavity_1,6,3.98,0.6633,4,1,0,1,0,0,Fructose-bisphosphate aldolase class 2,NONE,P0AB71,Carbohydrate transport and metabolism,NONE,"NONE
"
1b4f_F_cavity_1,6,3.978,0.663,4,2,0,0,0,0,Ephrin type-B receptor 2,SIGNAL TRANSDUCTION,EPHB2_HUMAN,Receptor for members of the ephrin-B family. Acts as a tumor suppressor.,Defects in EPHB2 are involved in the progression of prostate cancer [MIM:176807].;Defects in EPHB2 are involved in the development of prostate cancer metastasis to the brain [MIM:603688].,"Ocular disease;Angiogenesis disorder;Cancer
"
1qcb_F_cavity_1,6,3.976,0.6627,5,1,0,0,0,0,"Heat-labile enterotoxin IIB, B chain",NONE,P43529,NONE,NONE,"NONE
"
2w4o_A_cavity_1,6,3.976,0.6627,5,0,0,1,0,0,Calcium/calmodulin-dependent protein kinase type IV,NONE,Q16566,NONE,NONE,"NONE
"
1igw_B_cavity_1,6,3.976,0.6627,5,1,0,0,0,0,Isocitrate lyase,NONE,P0A9G6,NONE,NONE,"NONE
"
1fdy_B_cavity_2,6,3.973,0.6622,6,0,0,0,0,0,N-acetylneuraminate lyase,NONE,P0A6L4,Catalyzes the reversible aldol cleavage of N-acetylneuraminic acid (sialic acid; Neu5Ac) to form pyruvate and N-acetylmannosamine (ManNAc) via a Schiff base intermediate.,NONE,"NONE
"
3c7g_A_cavity_3,6,3.947,0.6579,4,1,0,1,0,0,Arabinoxylan arabinofuranohydrolase,NONE,Q45071,NONE,NONE,"NONE
"
1hj1_A_cavity_1,6,3.944,0.6573,4,1,0,1,0,0,Estrogen receptor beta,NONE,Q62986,Involved in transcription factor activity,NONE,"NONE
"
1d7c_A_cavity_1,6,3.943,0.6572,4,2,0,0,0,0,Cellobiose dehydrogenase,NONE,Q01738,Amino acid transport and metabolism,NONE,"NONE
"
2z3x_A_cavity_1,6,3.942,0.657,5,1,0,0,0,0,"Small, acid-soluble spore protein C",NONE,P02958,NONE,NONE,"NONE
"
1u4j_A_cavity_1,7,4.591,0.6558,4,1,1,1,0,0,Phospholipase A2 isoform 2,NONE,Q6SLM1,Involved in phospholipase A2 activity,NONE,"NONE
"
2f66_E_cavity_1,6,3.924,0.654,6,0,0,0,0,0,Suppressor protein STP22 of temperature-sensitive alpha-factor receptor and arginine permease,NONE,P25604,NONE,NONE,"NONE
"
1tvm_A_cavity_1,7,4.574,0.6534,7,0,0,0,0,0,Galactitol-specific phosphotransferase enzyme IIB component,NONE,P0A436,NONE,NONE,"NONE
"
3b9k_D_cavity_1,7,4.57,0.6528,6,0,1,0,0,0,T-cell surface glycoprotein CD8 alpha chain,NONE,P01731,NONE,NONE,"NONE
"
2jpe_A_cavity_1,6,3.917,0.6528,5,1,0,0,0,0,Nuclear inhibitor of protein phosphatase 1,NONE,Q8R3G1,NONE,NONE,"NONE
"
2aao_A_cavity_1,6,3.912,0.652,6,0,0,0,0,0,Calcium-dependent protein kinase 1,NONE,Q06850,NONE,NONE,"NONE
"
1tu9_A_cavity_1,6,3.909,0.6516,4,1,0,0,1,0,Hypothetical protein,NONE,Q9HX49,Involved in iron ion binding,NONE,"NONE
"
3ibv_B_cavity_1,6,3.909,0.6515,5,1,0,0,0,0,Exportin-T,NONE,O94258,NONE,NONE,"NONE
"
2cy3_A_cavity_1,6,3.899,0.6498,4,0,1,1,0,0,"Cytochrome c3, 13 kDa",NONE,P00136,Involved in iron ion binding,NONE,"NONE
"
1kgl_A_cavity_1,8,5.193,0.6492,6,1,1,0,0,0,Retinol-binding protein 1,NONE,P02696,NONE,NONE,"NONE
"
1a8p_A_cavity_1,7,4.544,0.6492,6,1,0,0,0,0,Ferredoxin--NADP reductase,NONE,Q44532,Involved in oxidoreductase activity,NONE,"NONE
"
2e74_A_cavity_3,7,4.542,0.6489,5,1,0,0,1,0,Cytochrome b6,NONE,P83791,Involved in oxidoreductase activity,NONE,"NONE
"
2qxx_A_cavity_1,8,5.19,0.6488,6,2,0,0,0,0,Deoxycytidine triphosphate deaminase,NONE,O07247,NONE,NONE,"NONE
"
2a7w_C_cavity_1,6,3.884,0.6474,5,1,0,0,0,0,Phosphoribosyl-ATP pyrophosphatase,NONE,Q7P0E6,NONE,NONE,"NONE
"
1tg6_A_cavity_2,6,3.877,0.6462,4,1,0,0,1,0,"Putative ATP-dependent Clp protease proteolytic subunit, mitochondrial",HYDROLASE,CLPP_HUMAN,Clp cleaves peptides in various proteins in a process that requires ATP hydrolysis. Clp may be responsible for a fairly general and central housekeeping function rather than for the degradation of specific substrates.,NONE,"NONE
"
1to6_A_cavity_3,6,3.871,0.6452,6,0,0,0,0,0,Glycerate kinase,NONE,P57098,NONE,NONE,"NONE
"
3eyj_B_cavity_2,6,3.871,0.6451,3,0,2,1,0,0,Hemagglutinin,NONE,P26137,NONE,NONE,"NONE
"
1xnr_J_cavity_1,7,4.513,0.6447,6,1,0,0,0,0,30S ribosomal protein S2,NONE,P80371,NONE,NONE,"NONE
"
2aa7_A_cavity_1,7,4.504,0.6434,5,2,0,0,0,0,Mineralocorticoid receptor,TRANSCRIPTION,MCR_HUMAN,Receptor for both mineralocorticoids (MC) such as aldosterone and glucocorticoids (GC) such as corticosterone or cortisol. Binds to mineralocorticoid response elements (MRE) and transactivates target genes. The effect of MC is to increase ion and water tr,"Defects in NR3C2 are a cause of autosomal dominant pseudohypoaldosteronism type I (PHA1) [MIM:177735]. PHA1 is characterized by urinary salt wasting, resulting from target organ unresponsiveness to mineralocorticoids. There are 2 forms of PHA1: the autosomal dominant form that is mild, and the recessive form which is more severe and due to defects in any of the epithelial sodium channel subunits. In autosomal dominant PHA1 the target organ defect is confined to kidney. Clinical expression can vary from asymptomatic to moderate. It may be severe at birth, but symptoms remit with age. Familial and sporadic cases have been reported.;Defects in NR3C2 are a cause of early onset hypertension with severe exacerbation in pregnancy [MIM:605115]. Inheritance is autosomal dominant. The disease is characterized by the onset of severe hypertension before the age of 20, and by suppression of aldosterone secretion.","Metabolic disorder;Hypertension;Cardiovascular disease;Urinary tract disease
"
2id4_B_cavity_3,9,5.772,0.6413,4,2,1,0,2,0,Kexin,NONE,P13134,NONE,NONE,"NONE
"
1e29_A_cavity_1,7,4.479,0.6399,6,1,0,0,0,0,Cytochrome c-550,NONE,Q55013,NONE,NONE,"NONE
"
1tv5_A_cavity_1,6,3.833,0.6388,4,2,0,0,0,0,"Dihydroorotate dehydrogenase homolog, mitochondrial",OXIDOREDUCTASE,PYRD_PLAF7,NONE,NONE,"NONE
"
1njk_A_cavity_1,6,3.832,0.6387,4,2,0,0,0,0,Long-chain acyl-CoA thioesterase tesC,NONE,P77712,NONE,NONE,"NONE
"
2bjh_B_cavity_2,7,4.47,0.6386,3,1,1,0,2,0,Feruloyl esterase A,NONE,O42807,NONE,NONE,"NONE
"
1lpj_A_cavity_1,6,3.831,0.6385,3,0,2,1,0,0,Retinoid-binding protein 7,NONE,Q96R05,Involved in retinoid binding,NONE,"For the treatment of vitamin A deficiency.
"
1uld_D_cavity_1,6,3.823,0.6371,4,1,1,0,0,0,Galectin-2,NONE,Q9P4R8,Involved in sugar binding,NONE,"NONE
"
2jgs_D_cavity_1,6,3.82,0.6366,4,0,2,0,0,0,Avidin,NONE,P02701,The biological function of avidin is not known. Forms a strong non-covalent specific complex with biotin (one molecule of biotin per subunit of avidin),NONE,"NONE
"
2zcu_A_cavity_2,7,4.454,0.6362,5,0,1,1,0,0,Uncharacterized oxidoreductase ytfG,NONE,P39315,NONE,NONE,"NONE
"
1s40_A_cavity_2,6,3.805,0.6341,4,1,0,0,1,0,Cell division control protein 13,NONE,P32797,NONE,NONE,"NONE
"
2bj3_A_cavity_1,6,3.804,0.6339,6,0,0,0,0,0,Putative nickel-responsive regulator,NONE,O58316,Involved in DNA binding,NONE,"NONE
"
1xvi_A_cavity_1,6,3.799,0.6332,5,0,1,0,0,0,Putative mannosyl-3-phosphoglycerate phosphatase,NONE,P76329,Involved in catalytic activity,NONE,"NONE
"
1jx1_C_cavity_1,6,3.797,0.6329,4,2,0,0,0,0,Chalcone--flavonone isomerase 1,NONE,P28012,Involved in chalcone isomerase activity,NONE,"NONE
"
1wjt_A_cavity_1,6,3.794,0.6323,6,0,0,0,0,0,Transcription elongation factor A protein 3,NONE,P23881,NONE,NONE,"NONE
"
1bh9_B_cavity_1,6,3.79,0.6316,6,0,0,0,0,0,Transcription initiation factor TFIID subunit 13,NONE,Q15543,NONE,NONE,"NONE
"
2c62_A_cavity_1,7,4.415,0.6308,5,1,0,1,0,0,Activated RNA polymerase II transcriptional coactivator p15,NONE,P53999,NONE,NONE,"NONE
"
2zv8_A_cavity_2,11,6.932,0.6302,5,2,1,3,0,0,Tyrosine-protein kinase Lyn,NONE,P25911,NONE,NONE,"NONE
"
1t3w_B_cavity_1,6,3.78,0.6301,5,1,0,0,0,0,DNA primase,NONE,P0ABS5,NONE,NONE,"NONE
"
2j4k_A_cavity_4,6,3.779,0.6298,5,1,0,0,0,0,Uridylate kinase,NONE,Q97ZE2,NONE,NONE,"NONE
"
1hbp_A_cavity_1,6,3.777,0.6296,5,1,0,0,0,0,Retinol-binding protein 4,NONE,P18902,Involved in retinoid binding,NONE,"NONE
"
2d2m_A_cavity_1,6,3.777,0.6296,4,0,1,0,1,0,Extracellular giant hemoglobin major globin subunit A1,NONE,Q7M419,NONE,NONE,"NONE
"
1k8d_A_cavity_3,6,3.777,0.6295,3,1,1,1,0,0,"H-2 class I histocompatibility antigen, Q7 alpha chain",NONE,P14429,NONE,NONE,"NONE
"
2ffa_A_cavity_1,7,4.402,0.6289,4,0,2,1,0,0,Alpha-hemolysin translocation ATP-binding protein hlyB,NONE,P08716,NONE,NONE,"NONE
"
1t0f_B_cavity_1,6,3.767,0.6278,4,0,2,0,0,0,Transposon Tn7 transposition protein tnsA,NONE,P13988,NONE,NONE,"NONE
"
1yhn_B_cavity_1,6,3.76,0.6267,6,0,0,0,0,0,Ras-related protein Rab-7a,NONE,P51149,NONE,NONE,"NONE
"
2dbo_A_cavity_1,6,3.758,0.6263,3,2,1,0,0,0,D-tyrosyl-tRNA(Tyr) deacylase,NONE,O66742,NONE,NONE,"NONE
"
3b46_B_cavity_2,8,5.009,0.6262,4,2,0,2,0,0,Probable kynurenine--oxoglutarate transaminase BNA3,NONE,P47039,NONE,NONE,"NONE
"
1or7_C_cavity_1,7,4.382,0.626,5,1,0,1,0,0,RNA polymerase sigma-E factor,NONE,P0AGB6,NONE,NONE,"NONE
"
1hpl_A_cavity_1,9,5.624,0.6249,4,0,3,2,0,0,Pancreatic triacylglycerol lipase,NONE,P29183,NONE,NONE,"NONE
"
3fbi_A_cavity_1,8,4.994,0.6243,4,0,2,2,0,0,Mediator of RNA polymerase II transcription subunit 7,NONE,Q08278,NONE,NONE,"NONE
"
1gka_B_cavity_1,7,4.37,0.6243,6,0,1,0,0,0,Crustacyanin-A1 subunit,NONE,P58989,Involved in binding,NONE,"NONE
"
1rp8_A_cavity_1,8,4.992,0.6239,4,1,1,2,0,0,Alpha-amylase type A isozyme,NONE,P00693,Carbohydrate transport and metabolism,NONE,"NONE
"
2nzt_B_cavity_6,7,4.341,0.6202,5,2,0,0,0,0,Hexokinase-2,TRANSFERASE,HXK2_HUMAN,NONE,NONE,"NONE
"
2fvl_B_cavity_1,7,4.336,0.6194,4,2,0,0,1,0,Aldo-keto reductase family 1 member C4,NONE,P17516,NONE,NONE,"NONE
"
2veq_A_cavity_5,8,4.944,0.618,4,1,1,0,2,0,Centromere DNA-binding protein complex CBF3 subunit B,NONE,P40969,NONE,NONE,"NONE
"
1k5g_K_cavity_1,8,4.926,0.6157,3,3,0,0,2,0,GTP-binding nuclear protein Ran,SIGNALING PROTEIN/SIGNALING ACTIVATOR,RAN_HUMAN,GTP-binding protein involved in nucleocytoplasmic transport. Required for the import of protein into the nucleus and also for RNA export. Involved in chromatin condensation and control of cell cycle (By similarity).;Enhances AR-mediated transactivation. Transactivation decreases as the poly-Gln length within AR increases.,NONE,"NONE
"
1mj4_A_cavity_1,7,4.294,0.6135,6,1,0,0,0,0,"Sulfite oxidase, mitochondrial",NONE,P51687,NONE,NONE,"NONE
"
3epy_B_cavity_3,7,4.292,0.6132,6,1,0,0,0,0,Acyl-CoA-binding domain-containing protein 7,NONE,Q8N6N7,NONE,NONE,"NONE
"
2d3o_1_cavity_2,8,4.905,0.6131,7,1,0,0,0,0,Trigger factor,NONE,Q9RT21,NONE,NONE,"NONE
"
1emy_A_cavity_1,10,6.13,0.613,6,1,1,0,2,0,Myoglobin,NONE,P02186,NONE,NONE,"NONE
"
1y64_B_cavity_2,8,4.89,0.6112,6,1,0,0,1,0,"Actin, alpha skeletal muscle",NONE,P68135,NONE,NONE,"NONE
"
2acm_B_cavity_1,7,4.276,0.6109,6,1,0,0,0,0,Mucin-1,NONE,P15941,NONE,NONE,"NONE
"
1c0l_A_cavity_2,7,4.272,0.6102,6,1,0,0,0,0,D-amino-acid oxidase,NONE,P80324,Amino acid transport and metabolism,NONE,"NONE
"
1ugr_B_cavity_2,7,4.266,0.6094,5,1,1,0,0,0,Cobalt-containing nitrile hydratase subunit alpha,NONE,Q7SID2,NONE,NONE,"NONE
"
